CAS	HANSEN_DELTA_D	HANSEN_DELTA_P	HANSEN_DELTA_H
123-08-0	19400.0	15200.0	14500.0
123-19-3	15800.0	7600.0	4900.0
123-20-6	15600.0	3900.0	6900.0
123-25-1	16200.0	6800.0	8700.0
123-31-9	21000.0	10200.0	27200.0
123-38-6	15300.0	11100.0	6900.0
123-39-7	17400.0	18800.0	15900.0
123-42-2	15800.0	8200.0	10800.0
123-51-3	15800.0	5200.0	13300.0
123-54-6	16100.000000000002	10000.0	6200.0
123-62-6	15800.0	9000.0	7700.0
123-63-7	16000.0	5000.0	6000.0
123-66-0	15500.0	3200.0	5900.0
123-72-8	15600.0	10100.0	6200.0
123-73-9	16200.0	14900.0	7400.0
123-75-1	17900.0	6500.0	7400.0
123-79-5	16700.0	2000.0	5100.0
123-86-4	15800.0	3700.0	6300.0
123-91-1	17500.0	1800.0	9000.0
123-92-2	15300.0	3100.0	7000.0
123-95-5	14500.0	3700.0	3500.0
123-96-6	16100.000000000002	4900.0	11000.0
124-02-7	15600.0	4500.0	6700.0
124-04-9	17100.0	10000.0	16300.0
124-07-2	15700.0	3300.0	8200.0
124-11-8	15400.0	1000.0	2200.0
124-17-4	16000.0	4100.0	8200.0
124-18-5	15700.0	0.0	0.0
124-20-9	16700.0	11200.0	12000.0
124-38-9	15700.0	6300.0	5700.0
124-40-3	15300.0	4800.0	11200.0
126-33-0	17800.0	17400.0	8700.0
126-73-8	16300.0	6300.0	4300.0
126-98-7	15800.0	9500.0	5400.0
126-99-8	16100.000000000002	5400.0	2100.0
127-00-4	16800.0	9800.0	15300.0
127-06-0	16300.0	3700.0	10900.0
127-18-4	18300.0	5700.0	0.0
127-19-5	16800.0	11500.0	9400.0
127-63-9	21100.0	14400.0	3400.0
130-95-0	19000.0	6600.0	11000.0
131-11-3	18600.0	10800.0	4900.0
135-01-3	17700.0	100.0	1000.0
135-02-4	19400.0	11900.0	8300.0
136-60-7	18300.0	5600.0	5500.0
137-32-6	16000.0	5100.0	14300.0
138-22-7	15800.0	6500.0	10200.0
138-86-3	17200.0	1800.0	4300.0
140-11-4	18300.0	5700.0	6000.0
140-24-9	17800.0	2200.0	5500.0
140-29-4	19500.0	12300.0	3800.0
140-88-5	15500.0	7100.0	5500.0
141-04-8	16700.0	2500.0	6200.0
141-28-6	16400.0	6200.0	7500.0
141-32-2	15600.0	6200.0	4900.0
141-43-5	17000.0	15500.0	21000.0
141-62-8	11700.0	2400.0	0.0
141-75-3	16800.0	9400.0	4800.0
141-78-6	15800.0	5300.0	7200.0
141-79-7	16400.0	7200.0	5000.0
141-97-9	16500.0	7300.0	8300.0
142-28-9	18000.0	8200.0	3000.0
142-29-0	16700.0	3800.0	1700.0
142-62-1	16300.0	4200.0	11500.0
142-68-7	16400.0	6300.0	6000.0
142-77-8	16300.0	3700.0	4200.0
142-82-5	15300.0	0.0	0.0
142-84-7	15300.0	1400.0	4100.0
142-90-5	14400.0	2200.0	5100.0
142-91-6	16200.0	3900.0	3700.0
142-92-7	15800.0	2900.0	5900.0
142-96-1	15200.0	3400.0	3200.0
143-08-8	16000.0	4800.0	11000.0
143-28-2	16500.0	2600.0	8000.0
144-62-7	17000.0	17000.0	26000.0
151-56-4	17700.0	11000.0	9800.0
156-59-2	17000.0	8000.0	3200.0
156-60-5	16700.0	7800.0	3300.0
260-94-6	20000.0	5900.0	2000.0
271-58-9	20600.0	11500.0	8800.0
271-89-6	18700.0	5100.0	5700.0
274-09-9	19000.0	6700.0	5900.0
287-27-4	18800.0	7800.0	9400.0
287-92-3	16400.0	0.0	1800.0
288-13-1	20200.0	10400.0	12400.0
288-14-2	18800.0	13400.0	11200.0
288-36-8	20700.0	8800.0	15000.0
288-47-1	20500.0	18800.0	10800.0
289-80-5	20200.0	17400.0	11700.0
289-95-2	20500.0	9400.0	11300.0
291-64-5	17100.0	1400.0	1900.0
294-62-2	16400.0	0.0	0.0
299-42-3	18000.0	10700.0	24100.0
300-62-9	17500.0	4300.0	6300.0
302-01-2	14200.0	8300.0	8900.0
306-83-2	15000.0	5400.0	1000.0
320-50-3	20000.0	4700.0	2400.0
328-84-7	20000.0	4700.0	2400.0
334-22-5	16800.0	7600.0	7700.0
334-88-3	14700.0	6100.0	11300.0
335-57-9	12000.0	0.0	0.0
344-38-7	20000.0	6000.0	4900.0
348-51-6	19400.0	8700.0	2000.0
352-93-2	16800.0	3100.0	2000.0
353-36-6	15200.0	9300.0	3000.0
355-02-2	12400.0	0.0	0.0
355-25-9	10600.0	0.0	0.0
355-42-0	12100.0	0.0	0.0
